                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4669,                 2.1987,                 1.5542,                0.58482,                0.67999,                 0.7252,                0.40616,                 1.5116,                 1.4995,                 1.8551,               0.070083,              0.0033241,              0.0033241
                      1,                 1.3458,                 1.7389,                 1.4865,                0.70779,                0.72631,                0.76051,                0.44946,                 1.4095,                 1.4115,                 1.7188,               0.040017,              0.0065915,              0.0065915
                      2,                 1.2576,                 1.5407,                 1.4209,                0.80291,                0.82455,                0.88954,                0.54466,                 1.3274,                 1.0206,                 1.6135,              0.0098851,               0.009793,               0.009793
                      3,                 1.2064,                 1.4433,                 1.3799,                0.79554,                0.77483,                0.82284,                0.48475,                 1.4516,                 1.2051,                 1.6873,               0.009703,               0.009703,               0.009703
                      4,                 1.1544,                  1.352,                 1.3367,                0.85046,                0.89151,                 0.9153,                0.58718,                 1.2487,                 0.8226,                 1.5527,               0.009703,               0.009703,               0.009703
                      5,                 1.1245,                 1.2821,                 1.3125,                0.90152,                0.91848,                0.95399,                0.60189,                 1.2778,                0.72699,                 1.5698,               0.009604,               0.009604,               0.009604
                      6,                 1.0947,                 1.2445,                 1.2951,                0.89033,                0.93429,                0.94854,                0.62405,                  1.216,                0.76894,                 1.5155,               0.009505,               0.009505,               0.009505
                      7,                 1.0617,                 1.1995,                 1.2723,                  0.925,                0.95598,                  0.961,                0.63117,                 1.2147,                 0.7191,                 1.5072,               0.009406,               0.009406,               0.009406
                      8,                 1.0431,                 1.1778,                 1.2579,                0.91918,                0.94968,                0.95065,                0.60063,                 1.3062,                0.66618,                 1.6202,               0.009307,               0.009307,               0.009307
                      9,                 1.0226,                 1.1483,                 1.2406,                0.91476,                0.94993,                0.96028,                0.62763,                 1.2265,                 0.7044,                 1.5627,               0.009208,               0.009208,               0.009208
                     10,                 1.0054,                 1.1296,                 1.2314,                 0.9276,                 0.9642,                0.96455,                0.62402,                 1.2721,                0.67015,                 1.5939,               0.009109,               0.009109,               0.009109
                     11,                0.98902,                 1.1183,                 1.2142,                0.90807,                0.95208,                0.95011,                0.61439,                 1.2632,                0.70501,                 1.5748,                0.00901,                0.00901,                0.00901
                     12,                0.97811,                 1.1225,                 1.2113,                 0.9169,                0.96936,                0.96261,                0.62419,                 1.2414,                 0.7284,                 1.5753,               0.008911,               0.008911,               0.008911
                     13,                0.96263,                 1.1148,                  1.202,                0.93753,                0.96682,                0.96289,                 0.6253,                 1.2555,                0.61415,                 1.5897,               0.008812,               0.008812,               0.008812
                     14,                0.95292,                 1.0966,                 1.1915,                0.93925,                0.97097,                0.96505,                0.62214,                 1.2477,                0.67704,                  1.609,               0.008713,               0.008713,               0.008713
                     15,                0.94695,                 1.0577,                  1.188,                0.93746,                0.95966,                0.96423,                 0.6333,                 1.2051,                0.63316,                 1.5474,               0.008614,               0.008614,               0.008614
                     16,                0.93144,                 1.0562,                  1.177,                0.94455,                 0.9654,                0.96262,                0.62886,                 1.2389,                0.61807,                 1.5925,               0.008515,               0.008515,               0.008515
